Best model: dsc0.196.pth.tar
Trans diff: 0.5729, Raw diff: 0.4277
Trans diff: 0.4376, Raw diff: 0.4277
Trans diff: 0.8236, Raw diff: 0.6218
Trans diff: 0.8104, Raw diff: 0.6218
Trans diff: 0.7505, Raw diff: 0.5292
Trans diff: 0.6796, Raw diff: 0.5292
Trans diff: 0.8440, Raw diff: 0.6064
Trans diff: 0.8316, Raw diff: 0.6064
Trans diff: 0.7975, Raw diff: 0.5997
Trans diff: 0.7825, Raw diff: 0.5997
Trans diff: 0.8166, Raw diff: 0.5068
Trans diff: 0.7984, Raw diff: 0.5068
Trans diff: 0.8013, Raw diff: 0.5277
Trans diff: 0.7525, Raw diff: 0.5277
Trans diff: 0.5300, Raw diff: 0.2982
Trans diff: 0.5438, Raw diff: 0.2982
Trans diff: 0.8273, Raw diff: 0.5048
Trans diff: 0.8038, Raw diff: 0.5048
Trans diff: 0.7962, Raw diff: 0.4622
Trans diff: 0.8219, Raw diff: 0.4622
Trans diff: 0.7829, Raw diff: 0.4490
Trans diff: 0.7719, Raw diff: 0.4490
Trans diff: 0.5784, Raw diff: 0.4659
Trans diff: 0.6697, Raw diff: 0.4659
Trans diff: 0.5797, Raw diff: 0.4371
Trans diff: 0.5742, Raw diff: 0.4371
Trans diff: 0.7151, Raw diff: 0.3560
Trans diff: 0.7083, Raw diff: 0.3560
Trans diff: 0.7587, Raw diff: 0.5517
Trans diff: 0.7142, Raw diff: 0.5517
Trans diff: 0.8404, Raw diff: 0.5216
Trans diff: 0.8259, Raw diff: 0.5216
Trans diff: 0.7662, Raw diff: 0.5209
Trans diff: 0.8022, Raw diff: 0.5209
Trans diff: 0.7912, Raw diff: 0.4798
Trans diff: 0.8031, Raw diff: 0.4798
Trans diff: 0.6584, Raw diff: 0.5502
Trans diff: 0.7191, Raw diff: 0.5502
Trans diff: 0.8109, Raw diff: 0.5596
Trans diff: 0.8138, Raw diff: 0.5596
Trans diff: 0.7504, Raw diff: 0.5463
Trans diff: 0.7184, Raw diff: 0.5463
Trans diff: 0.7545, Raw diff: 0.4052
Trans diff: 0.7262, Raw diff: 0.4052
Trans diff: 0.6801, Raw diff: 0.4105
Trans diff: 0.6157, Raw diff: 0.4105
Trans diff: 0.8293, Raw diff: 0.5846
Trans diff: 0.8375, Raw diff: 0.5846
Trans diff: 0.7684, Raw diff: 0.4498
Trans diff: 0.7312, Raw diff: 0.4498
Trans diff: 0.5011, Raw diff: 0.5069
Trans diff: 0.6205, Raw diff: 0.5069
Trans diff: 0.8132, Raw diff: 0.4806
Trans diff: 0.7955, Raw diff: 0.4806
Trans diff: 0.6187, Raw diff: 0.4315
Trans diff: 0.6854, Raw diff: 0.4315
Trans diff: 0.7451, Raw diff: 0.6061
Trans diff: 0.7839, Raw diff: 0.6061
Trans diff: 0.7355, Raw diff: 0.5761
Trans diff: 0.6950, Raw diff: 0.5761
Trans diff: 0.8017, Raw diff: 0.5814
Trans diff: 0.8189, Raw diff: 0.5814
Trans diff: 0.7856, Raw diff: 0.4487
Trans diff: 0.7809, Raw diff: 0.4487
Trans diff: 0.6987, Raw diff: 0.4281
Trans diff: 0.6497, Raw diff: 0.4281
Trans diff: 0.7959, Raw diff: 0.4813
Trans diff: 0.8011, Raw diff: 0.4813
Trans diff: 0.5562, Raw diff: 0.3666
Trans diff: 0.4930, Raw diff: 0.3666
Trans diff: 0.7876, Raw diff: 0.5892
Trans diff: 0.8174, Raw diff: 0.5892
Trans diff: 0.4788, Raw diff: 0.2506
Trans diff: 0.5012, Raw diff: 0.2506
Trans diff: 0.8449, Raw diff: 0.5795
Trans diff: 0.8520, Raw diff: 0.5795
Trans diff: 0.8164, Raw diff: 0.4879
Trans diff: 0.7947, Raw diff: 0.4879
Trans diff: 0.8291, Raw diff: 0.5053
Trans diff: 0.8077, Raw diff: 0.5053
Trans diff: 0.7773, Raw diff: 0.4451
Trans diff: 0.7499, Raw diff: 0.4451
Trans diff: 0.8329, Raw diff: 0.5860
Trans diff: 0.8365, Raw diff: 0.5860
Trans diff: 0.7928, Raw diff: 0.5085
Trans diff: 0.7944, Raw diff: 0.5085
Trans diff: 0.6794, Raw diff: 0.4059
Trans diff: 0.6315, Raw diff: 0.4059
Trans diff: 0.8118, Raw diff: 0.5166
Trans diff: 0.8142, Raw diff: 0.5166
Trans diff: 0.7243, Raw diff: 0.3319
Trans diff: 0.7163, Raw diff: 0.3319
Trans diff: 0.6827, Raw diff: 0.4138
Trans diff: 0.7313, Raw diff: 0.4138
Trans diff: 0.7811, Raw diff: 0.5211
Trans diff: 0.7558, Raw diff: 0.5211
Trans diff: 0.7875, Raw diff: 0.4955
Trans diff: 0.8059, Raw diff: 0.4955
Trans diff: 0.7765, Raw diff: 0.4623
Trans diff: 0.7928, Raw diff: 0.4623
Trans diff: 0.8212, Raw diff: 0.6000
Trans diff: 0.8216, Raw diff: 0.6000
Trans diff: 0.6456, Raw diff: 0.3712
Trans diff: 0.6867, Raw diff: 0.3712
Trans diff: 0.7388, Raw diff: 0.5280
Trans diff: 0.6241, Raw diff: 0.5280
Trans diff: 0.6568, Raw diff: 0.5111
Trans diff: 0.7335, Raw diff: 0.5111
Trans diff: 0.6824, Raw diff: 0.4632
Trans diff: 0.6152, Raw diff: 0.4632
Trans diff: 0.7758, Raw diff: 0.4184
Trans diff: 0.7162, Raw diff: 0.4184
Trans diff: 0.5232, Raw diff: 0.2549
Trans diff: 0.5437, Raw diff: 0.2549
Trans diff: 0.7228, Raw diff: 0.4906
Trans diff: 0.7377, Raw diff: 0.4906
Trans diff: 0.5445, Raw diff: 0.3361
Trans diff: 0.5949, Raw diff: 0.3361
Trans diff: 0.8114, Raw diff: 0.5247
Trans diff: 0.8086, Raw diff: 0.5247
Trans diff: 0.5511, Raw diff: 0.3708
Trans diff: 0.6100, Raw diff: 0.3708
Trans diff: 0.8436, Raw diff: 0.5472
Trans diff: 0.8401, Raw diff: 0.5472
Deformed DSC: 0.731 +- 0.096, Affine DSC: 0.476 +- 0.079
deformed det: 0, std: 0
