Best model: dsc0.197.pth.tar
Trans diff: 0.8489, Raw diff: 0.5682
Trans diff: 0.8494, Raw diff: 0.5682
Trans diff: 0.5581, Raw diff: 0.4173
Trans diff: 0.6677, Raw diff: 0.4173
Trans diff: 0.5951, Raw diff: 0.4772
Trans diff: 0.6865, Raw diff: 0.4772
Trans diff: 0.6283, Raw diff: 0.4256
Trans diff: 0.6818, Raw diff: 0.4256
Trans diff: 0.8116, Raw diff: 0.5190
Trans diff: 0.8204, Raw diff: 0.5190
Trans diff: 0.8480, Raw diff: 0.5836
Trans diff: 0.8498, Raw diff: 0.5836
Trans diff: 0.6783, Raw diff: 0.5441
Trans diff: 0.5829, Raw diff: 0.5441
Trans diff: 0.7521, Raw diff: 0.4181
Trans diff: 0.7385, Raw diff: 0.4181
Trans diff: 0.6266, Raw diff: 0.4036
Trans diff: 0.6512, Raw diff: 0.4036
Trans diff: 0.7639, Raw diff: 0.4294
Trans diff: 0.7495, Raw diff: 0.4294
Trans diff: 0.7672, Raw diff: 0.4515
Trans diff: 0.7250, Raw diff: 0.4515
Trans diff: 0.7953, Raw diff: 0.4741
Trans diff: 0.7459, Raw diff: 0.4741
Trans diff: 0.8381, Raw diff: 0.4895
Trans diff: 0.7959, Raw diff: 0.4895
Trans diff: 0.7592, Raw diff: 0.4497
Trans diff: 0.8074, Raw diff: 0.4497
Trans diff: 0.7614, Raw diff: 0.5066
Trans diff: 0.7783, Raw diff: 0.5066
Trans diff: 0.5611, Raw diff: 0.3650
Trans diff: 0.5962, Raw diff: 0.3650
Trans diff: 0.6982, Raw diff: 0.5260
Trans diff: 0.6032, Raw diff: 0.5260
Trans diff: 0.7973, Raw diff: 0.5419
Trans diff: 0.8077, Raw diff: 0.5419
Trans diff: 0.8027, Raw diff: 0.5365
Trans diff: 0.8114, Raw diff: 0.5365
Trans diff: 0.6979, Raw diff: 0.3837
Trans diff: 0.6967, Raw diff: 0.3837
Trans diff: 0.8102, Raw diff: 0.4923
